year,datestamp,title,url,share_img,thumbnail_img
2018,20180418,Yankees injury tracker,http://www.nydailynews.com/sports/baseball/yankees/yankees-injury-tracker-2018-article-1.3926317,
2018,20180405,Yankees sluggers tracker,http://interactive.nydailynews.com/project/yankees-sluggers-tracker/,http://interactive.nydailynews.com/project/yankees-sluggers-tracker/img/aaron-judge-giancarlo-stanton.jpg
2018,20180403,Mets Misery Index and injury tracker,http://interactive.nydailynews.com/project/mets-misery-index/,http://interactive.nydailynews.com/project/mets-misery-index/img/mets-misery-index-less-dire.jpg
2018,20180221,"MAP: School shootings in the United States, 2018",http://interactive.nydailynews.com/map/school-shootings/ 
2018,20180219,MAP: New York City homeless-related 311 calls,http://www.nydailynews.com/new-york/new-yorkers-face-quality-life-issues-due-influx-homeless-article-1.3827644#311-calls-map
2018,20180219,"CHART: NYC homeless population, 1983-2017",http://www.nydailynews.com/new-york/nyc-mayors-koch-de-blasio-dealt-homeless-article-1.3826927#nyc-homeless-chart
2018,20180213,MTA Budget: Where does the money go?,http://interactive.nydailynews.com/project/mta-spending/
2018,20180206,How many days until baseball season starts?,http://interactive.nydailynews.com/project/how-long/until-mlb-2018-season-starts/
2018,20180131,Rank the greatest Super Bowl games,http://interactive.nydailynews.com/poll/rank-these-things/best-super-bowl-games/
2018,20180119,"One year later: Trump's inauguration speech, annotated",http://interactive.nydailynews.com/project/trump-inauguration-speech/
2018,20180103,What's a bomb cyclone,http://interactive.nydailynews.com/project/bomb-cyclone/
2017,20171222,How long has Puerto Rico been without power?,http://interactive.nydailynews.com/project/how-long/has-puerto-rico-been-without-power/
2017,20171219,How long until 2018?,http://interactive.nydailynews.com/project/how-long/until-2017-is-finally-over/
2017,20171218,How long until the royal wedding?,http://interactive.nydailynews.com/project/how-long/royal-wedding-prince-harry-meghan-markle/
2017,20171130,11 ways Meghan Markle is just the best,http://interactive.nydailynews.com/meghan-markle-profile/
2017,20171124,Daily News 2017 Holiday Gift Guide,http://interactive.nydailynews.com/2017-gift-guide/
2017,20171108,"One year later: Trump’s victory speech, annotated",http://interactive.nydailynews.com/project/trump-victory-speech/
2017,20171026,How Hurricane Sandy compares to other major storms,http://interactive.nydailynews.com/project/hurricane-sandy-comparison/
2017,20171016,MTA Budget: Where does the money come from?,http://interactive.nydailynews.com/project/mta-funding/
2017,20171003,These are the victims of the Las Vegas massacre,http://interactive.nydailynews.com/project/las-vegas-victims/
2017,20171003,MAP: Mass shootings in the United States since 2013,http://interactive.nydailynews.com/map/mass-shootings-since-sandy-hook/,http://interactive.nydailynews.com/map/mass-shootings-since-sandy-hook/img/share.jpg
2017,20170922,New York City's Graveyard of Opioid Overdoses,http://interactive.nydailynews.com/project/opioid-overdose-graveyard/,http://interactive.nydailynews.com/project/opioid-overdose-graveyard/img/opioid-overdose-share.jpg
2017,20170908,NYC controversial statue map,http://interactive.nydailynews.com/map/nyc-statues/
2017,20170825,Game of Thrones house motto generator,http://interactive.nydailynews.com/project/game-of-thrones-house/
2017,20170814,New York City history news archives,http://interactive.nydailynews.com/project/archive/amazing-history-nyc/
2017,20170807,Son of Sam news archives,http://interactive.nydailynews.com/project/archive/son-of-sam/
2017,20170804,Game of Thrones weapon-name generator,http://interactive.nydailynews.com/project/choose-your-weapon/
2017,20170712,Here’s what we know about Donald Trump’s ties to Russia,http://interactive.nydailynews.com/project/donald-trump-ties-russia-key-players/
2017,20170710,Aaron Judge home run tracker,http://interactive.nydailynews.com/project/aaron-judge-home-runs/
2017,20170612,Fiction: How America was saved from Donald Trump,http://interactive.nydailynews.com/fiction/coup/
2017,20170428,100 Days of Trump,http://interactive.nydailynews.com/project/trump-100-days/
2017,20170402,Daily News Pulitzers,http://interactive.nydailynews.com/pulitzers/
2016,20160722,NYC's best dog parks,http://interactive.nydailynews.com/2016/07/best-nyc-dog-parks/
2016,20160720,A history of Donald Trump on the front pages of the New York Daily News,http://interactive.nydailynews.com/2016/07/donald-trump-daily-news-front-pages/
2015,20151028,Pick your presidential candidate by what that candidate hates,http://interactive.nydailynews.com/2015/10/haters-in-chief/
2015,20150424,Inside the mural at New York's Knickerbocker Hotel,http://interactive.nydailynews.com/2015/04/knickerbocker-mural/
2015,20150313,Special Report: NYC Schools in Crisis,http://interactive.nydailynews.com/2015/03/fight-for-their-future/
